id,authors,title,venue,year,method_family,training_epochs,fold_strategy,per_class_fidelity_measured,notes
1,Chawla et al.,SMOTE: Synthetic Minority Over-sampling Technique,Journal of Artificial Intelligence Research (JAIR),2002,interpolation,n/a,stratified random k-fold (10x),no,Original SMOTE; reports F-measure and ROC convex hull on 9 imbalanced UCI sets. No fidelity diagnostic.
2,Han et al.,Borderline-SMOTE: A New Over-Sampling Method in Imbalanced Data Sets Learning,ICIC,2005,interpolation,n/a,random k-fold,no,Borderline variant; classifier metrics only.
3,He et al.,ADASYN: Adaptive Synthetic Sampling Approach for Imbalanced Learning,IJCNN,2008,interpolation,n/a,5-fold random,no,Difficulty-weighted SMOTE; no fidelity check.
4,Xu et al.,Modeling Tabular Data using Conditional GAN (CTGAN & TVAE),NeurIPS,2019,GAN + VAE,300 (CTGAN); 300 (TVAE),random train/test split,partial (likelihood/coverage on full table — not per-class),Introduces CTGAN and TVAE; fidelity reported on full mixed-class data.
5,Fiore et al.,Using Generative Adversarial Networks for Improving Classification Effectiveness in Credit Card Fraud Detection,Information Sciences,2019,GAN (vanilla),"~2000 (paper reports ~2000 training iters; not epochs in standard sense)",random train/test split (no temporal),no,Credit-card fraud (Kaggle ULB). Reports F1/sensitivity; no DCR/NNDR.
6,Engelmann & Lessmann,Conditional Wasserstein GAN-based Oversampling of Tabular Data for Imbalanced Learning,Expert Systems with Applications,2021,Wasserstein GAN,"epochs not fixed; trained to convergence (~300–500)",stratified 5-fold (random),no,cWGAN; benchmarks across 7 imbalanced sets including credit fraud. No per-class fidelity.
7,Zhao et al.,CTAB-GAN: Effective Table Data Synthesizing,PMLR (ACML),2021,GAN,150,random train/test split,partial (statistical similarity on full table),Adds classification & info loss; fidelity via JSD/Wasserstein on aggregated columns.
8,Sauber-Cole & Khoshgoftaar,The Use of GANs to Alleviate Class Imbalance in Tabular Data: A Survey,Journal of Big Data,2022,survey,n/a,survey of 30+ studies,no (notes lack of per-class fidelity as gap),Survey: confirms most works use random folds and no per-class fidelity diagnostics.
9,Kotelnikov et al.,TabDDPM: Modelling Tabular Data with Diffusion Models,ICML,2023,diffusion,"1000 (default; diffusion timesteps T=1000, training iters ~30k–60k)",random 60/20/20 split,partial (column-wise statistics; not split by class),"First diffusion model for tabular data; ML-utility dominant metric."
10,Sattarov et al.,FinDiff: Diffusion Models for Financial Tabular Data Generation,ACM ICAIF,2023,diffusion,"500 (diffusion T=500, ~50k training iters)",random train/test split,no (aggregate fidelity only),Financial tabular focus; evaluates TSTR + privacy but no per-class DCR/NNDR.
11,Zhao et al.,CTAB-GAN+: Enhancing Tabular Data Synthesis,Frontiers in Big Data,2024,GAN,150,random train/test split,partial (per-column stats),Extension of CTAB-GAN with WGAN-GP loss; downstream ML utility & privacy.
12,Patki et al.,The Synthetic Data Vault (SDV),IEEE DSAA,2016,framework / Bayesian + GAN,n/a,n/a (framework),no,Origin of SDV ecosystem (used by CTGAN/TVAE wrappers); fidelity API per column.
